date,player,type,note
2024-03-12,29,Fatigue,Retour de sélection avec fatigue musculaire. Gestion individualisée de la récupération.
2024-03-15,17,Travel,Déplacement à Marseille ; retard d'avion ; adaptation de la séance du lendemain.
2024-03-20,10,Mental,Confiance en hausse après un but décisif.
2024-03-25,14,Weather,Pluie intense lors du match contre Monaco ; impact sur la qualité du terrain.
2024-04-01,Whole Team,Travel,Retour tardif d'un déplacement à Lille ; séance de récupération adaptée pour tout le groupe.
2024-04-05,29,Fatigue,Enchaînement de matchs ; besoin de repos supplémentaire.
2024-04-10,17,Mental,Pression accrue avant le choc contre Marseille.
2024-04-15,10,Weather,Chaleur inhabituelle lors du match à Nice.
2024-04-20,14,Fatigue,Petite gêne musculaire ; suivi médical renforcé.
2024-04-25,Whole Team,Travel,Déplacement européen ; gestion du sommeil pour tout le groupe.
