Priority,Category,Area,Target,Performance Type,Target set,Review Date,Tracking
1,Performance,Dribbles,Atteindre 10 dribbles réussis par match,Outcome,2024-03-10,2024-04-10,On Track
2,Performance,Passes,Maintenir un taux de passes réussies > 85%,Outcome,2024-03-10,2024-04-10,On Track
3,Recovery,Sleep,Augmenter la moyenne de sommeil à 8h/nuit,Habit,2024-03-10,2024-04-10,On Track
4,Performance,Sprint,>33 km/h en vitesse max,Outcome,2024-03-10,2024-04-10,Achieved
5,Performance,Endurance,Parcourir >10km par match,Outcome,2024-03-10,2024-04-10,On Track
6,Performance,Tacles,>5 tacles réussis par match,Outcome,2024-03-10,2024-04-10,On Track
7,Performance,Interceptions,>3 interceptions par match,Outcome,2024-03-10,2024-04-10,On Track
8,Performance,Tirs cadrés,>3 tirs cadrés par match,Outcome,2024-03-10,2024-04-10,On Track
9,Performance,Centres,>4 centres réussis par match,Outcome,2024-03-10,2024-04-10,On Track
10,Performance,Duels gagnés,>60% de duels gagnés,Outcome,2024-03-10,2024-04-10,On Track
